movie,year,imdb,metascore,votes
Gladiator,-2000,8.5,67,1293786
Memento,-2000,8.4,80,1087246
Snatch,-2000,8.3,55,759754
Requiem for a Dream,-2000,8.3,68,741268
X-Men,-2000,7.4,64,558272
Cast Away,-2000,7.8,73,504617
American Psycho,-2000,7.6,64,466121
Unbreakable,-2000,7.3,62,377022
Mission: Impossible II,-2000,6.1,59,305472
Meet the Parents,-2000,7,73,303889
"O Brother, Where Art Thou?",-2000,7.7,69,276356
Gone in Sixty Seconds,-2000,6.5,35,255091
The Patriot,-2000,7.2,63,248530
Wo hu cang long,-2000,7.8,94,248079
Almost Famous,-2000,7.9,90,244977
Scary Movie,-2000,6.2,48,226197
Final Destination,-2000,6.7,36,222906
Pitch Black,-2000,7.1,49,221076
The Beach,(I) (2000),6.7,43,217639
"Me, Myself & Irene",-2000,6.6,49,217577
Amores perros,-2000,8.1,83,217262
How the Grinch Stole Christmas,-2000,6.2,46,196867
Remember the Titans,-2000,7.8,48,192363
Traffic,-2000,7.6,86,191898
What Women Want,-2000,6.4,47,187358
Miss Congeniality,-2000,6.2,43,180918
Chocolat,-2000,7.2,64,174279
The Emperor's New Groove,-2000,7.3,70,172990
Chicken Run,-2000,7,88,172394
Charlie's Angels,-2000,5.5,52,172265
Erin Brockovich,-2000,7.3,73,168819
Batoru rowaiaru,-2000,7.6,81,165106
High Fidelity,-2000,7.5,79,164296
Road Trip,-2000,6.4,55,154306
The Perfect Storm,-2000,6.4,59,152615
"Dude, Where's My Car?",-2000,5.5,30,132271
Billy Elliot,-2000,7.7,74,122545
Hollow Man,-2000,5.8,24,120562
Scream 3,-2000,5.6,56,120061
Fa yeung nin wah,-2000,8.1,85,116946
Shanghai Noon,-2000,6.6,77,116672
What Lies Beneath,-2000,6.6,51,115110
The 6th Day,-2000,5.9,49,114299
Pay It Forward,-2000,7.2,40,110654
The Whole Nine Yards,-2000,6.7,47,107645
Men of Honor,-2000,7.2,56,104711
Coyote Ugly,-2000,5.7,27,104487
The Family Man,-2000,6.8,42,100615
Dancer in the Dark,-2000,8,61,99119
Gladiator,-2000,8.5,67,1293786
Memento,-2000,8.4,80,1087246
Snatch,-2000,8.3,55,759754
Requiem for a Dream,-2000,8.3,68,741268
X-Men,-2000,7.4,64,558272
Cast Away,-2000,7.8,73,504617
American Psycho,-2000,7.6,64,466121
Unbreakable,-2000,7.3,62,377022
Mission: Impossible II,-2000,6.1,59,305472
Meet the Parents,-2000,7,73,303889
"O Brother, Where Art Thou?",-2000,7.7,69,276356
Gone in Sixty Seconds,-2000,6.5,35,255091
The Patriot,-2000,7.2,63,248530
Wo hu cang long,-2000,7.8,94,248079
Almost Famous,-2000,7.9,90,244977
Scary Movie,-2000,6.2,48,226197
Final Destination,-2000,6.7,36,222906
Pitch Black,-2000,7.1,49,221076
The Beach,(I) (2000),6.7,43,217639
"Me, Myself & Irene",-2000,6.6,49,217577
Amores perros,-2000,8.1,83,217262
How the Grinch Stole Christmas,-2000,6.2,46,196867
Remember the Titans,-2000,7.8,48,192363
Traffic,-2000,7.6,86,191898
What Women Want,-2000,6.4,47,187358
Miss Congeniality,-2000,6.2,43,180918
Chocolat,-2000,7.2,64,174279
The Emperor's New Groove,-2000,7.3,70,172990
Chicken Run,-2000,7,88,172394
Charlie's Angels,-2000,5.5,52,172265
Erin Brockovich,-2000,7.3,73,168819
Batoru rowaiaru,-2000,7.6,81,165106
High Fidelity,-2000,7.5,79,164296
Road Trip,-2000,6.4,55,154306
The Perfect Storm,-2000,6.4,59,152615
"Dude, Where's My Car?",-2000,5.5,30,132271
Billy Elliot,-2000,7.7,74,122545
Hollow Man,-2000,5.8,24,120562
Scream 3,-2000,5.6,56,120061
Fa yeung nin wah,-2000,8.1,85,116946
Shanghai Noon,-2000,6.6,77,116672
What Lies Beneath,-2000,6.6,51,115110
The 6th Day,-2000,5.9,49,114299
Pay It Forward,-2000,7.2,40,110654
The Whole Nine Yards,-2000,6.7,47,107645
Men of Honor,-2000,7.2,56,104711
Coyote Ugly,-2000,5.7,27,104487
The Family Man,-2000,6.8,42,100615
Dancer in the Dark,-2000,8,61,99119
Gladiator,-2000,8.5,67,1293786
Memento,-2000,8.4,80,1087246
Snatch,-2000,8.3,55,759754
Requiem for a Dream,-2000,8.3,68,741268
X-Men,-2000,7.4,64,558272
Cast Away,-2000,7.8,73,504617
American Psycho,-2000,7.6,64,466121
Unbreakable,-2000,7.3,62,377022
Mission: Impossible II,-2000,6.1,59,305472
Meet the Parents,-2000,7,73,303889
"O Brother, Where Art Thou?",-2000,7.7,69,276356
Gone in Sixty Seconds,-2000,6.5,35,255091
The Patriot,-2000,7.2,63,248530
Wo hu cang long,-2000,7.8,94,248079
Almost Famous,-2000,7.9,90,244977
Scary Movie,-2000,6.2,48,226197
Final Destination,-2000,6.7,36,222906
Pitch Black,-2000,7.1,49,221076
The Beach,(I) (2000),6.7,43,217639
"Me, Myself & Irene",-2000,6.6,49,217577
Amores perros,-2000,8.1,83,217262
How the Grinch Stole Christmas,-2000,6.2,46,196867
Remember the Titans,-2000,7.8,48,192363
Traffic,-2000,7.6,86,191898
What Women Want,-2000,6.4,47,187358
Miss Congeniality,-2000,6.2,43,180918
Chocolat,-2000,7.2,64,174279
The Emperor's New Groove,-2000,7.3,70,172990
Chicken Run,-2000,7,88,172394
Charlie's Angels,-2000,5.5,52,172265
Erin Brockovich,-2000,7.3,73,168819
Batoru rowaiaru,-2000,7.6,81,165106
High Fidelity,-2000,7.5,79,164296
Road Trip,-2000,6.4,55,154306
The Perfect Storm,-2000,6.4,59,152615
"Dude, Where's My Car?",-2000,5.5,30,132271
Billy Elliot,-2000,7.7,74,122545
Hollow Man,-2000,5.8,24,120562
Scream 3,-2000,5.6,56,120061
Fa yeung nin wah,-2000,8.1,85,116946
Shanghai Noon,-2000,6.6,77,116672
What Lies Beneath,-2000,6.6,51,115110
The 6th Day,-2000,5.9,49,114299
Pay It Forward,-2000,7.2,40,110654
The Whole Nine Yards,-2000,6.7,47,107645
Men of Honor,-2000,7.2,56,104711
Coyote Ugly,-2000,5.7,27,104487
The Family Man,-2000,6.8,42,100615
Dancer in the Dark,-2000,8,61,99119
Gladiator,-2000,8.5,67,1293786
Memento,-2000,8.4,80,1087246
Snatch,-2000,8.3,55,759754
Requiem for a Dream,-2000,8.3,68,741268
X-Men,-2000,7.4,64,558272
Cast Away,-2000,7.8,73,504617
American Psycho,-2000,7.6,64,466121
Unbreakable,-2000,7.3,62,377022
Mission: Impossible II,-2000,6.1,59,305472
Meet the Parents,-2000,7,73,303889
"O Brother, Where Art Thou?",-2000,7.7,69,276356
Gone in Sixty Seconds,-2000,6.5,35,255091
The Patriot,-2000,7.2,63,248530
Wo hu cang long,-2000,7.8,94,248079
Almost Famous,-2000,7.9,90,244977
Scary Movie,-2000,6.2,48,226197
Final Destination,-2000,6.7,36,222906
Pitch Black,-2000,7.1,49,221076
The Beach,(I) (2000),6.7,43,217639
"Me, Myself & Irene",-2000,6.6,49,217577
Amores perros,-2000,8.1,83,217262
How the Grinch Stole Christmas,-2000,6.2,46,196867
Remember the Titans,-2000,7.8,48,192363
Traffic,-2000,7.6,86,191898
What Women Want,-2000,6.4,47,187358
Miss Congeniality,-2000,6.2,43,180918
Chocolat,-2000,7.2,64,174279
The Emperor's New Groove,-2000,7.3,70,172990
Chicken Run,-2000,7,88,172394
Charlie's Angels,-2000,5.5,52,172265
Erin Brockovich,-2000,7.3,73,168819
Batoru rowaiaru,-2000,7.6,81,165106
High Fidelity,-2000,7.5,79,164296
Road Trip,-2000,6.4,55,154306
The Perfect Storm,-2000,6.4,59,152615
"Dude, Where's My Car?",-2000,5.5,30,132271
Billy Elliot,-2000,7.7,74,122545
Hollow Man,-2000,5.8,24,120562
Scream 3,-2000,5.6,56,120061
Fa yeung nin wah,-2000,8.1,85,116946
Shanghai Noon,-2000,6.6,77,116672
What Lies Beneath,-2000,6.6,51,115110
The 6th Day,-2000,5.9,49,114299
Pay It Forward,-2000,7.2,40,110654
The Whole Nine Yards,-2000,6.7,47,107645
Men of Honor,-2000,7.2,56,104711
Coyote Ugly,-2000,5.7,27,104487
The Family Man,-2000,6.8,42,100615
Dancer in the Dark,-2000,8,61,99119
The Lord of the Rings: The Fellowship of the Ring,-2001,8.8,92,1603612
A Beautiful Mind,-2001,8.2,72,819342
"Monsters, Inc.",-2001,8,79,787658
Donnie Darko,-2001,8,88,723468
Amélie,-2001,8.3,69,685090
Harry Potter and the Sorcerer's Stone,-2001,7.6,64,616123
Sen to Chihiro no kamikakushi,-2001,8.6,96,614991
Shrek,-2001,7.8,84,595057
Ocean's Eleven,-2001,7.7,74,499566
Training Day,-2001,7.7,69,377136
Black Hawk Down,-2001,7.7,74,355400
The Fast and the Furious,-2001,6.8,58,337814
The Others,-2001,7.6,74,327879
Mulholland Dr.,-2001,8,85,308597
Pearl Harbor,-2001,6.2,44,304939
The Mummy Returns,-2001,6.3,48,294615
Jurassic Park III,-2001,5.9,42,288133
A.I. Artificial Intelligence,-2001,7.2,65,284622
Moulin Rouge!,-2001,7.6,66,261132
The Royal Tenenbaums,-2001,7.6,76,258645
Hannibal,-2001,6.8,57,247620
Vanilla Sky,-2001,6.9,45,242518
Zoolander,-2001,6.5,61,240897
Enemy at the Gates,-2001,7.6,53,236099
American Pie 2,-2001,6.4,43,234600
Blow,-2001,7.6,52,234519
Bridget Jones's Diary,-2001,6.7,66,218148
Planet of the Apes,-2001,5.7,50,206840
Rush Hour 2,-2001,6.6,48,194903
Lara Croft: Tomb Raider,-2001,5.8,33,193808
Legally Blonde,-2001,6.3,59,177320
Swordfish,-2001,6.5,32,173251
K-PAX,-2001,7.4,49,172269
A Knight's Tale,-2001,6.9,56,165222
Jay and Silent Bob Strike Back,-2001,6.8,51,146292
Scary Movie 2,-2001,5.3,29,145873
From Hell,-2001,6.8,54,143815
Spy Game,-2001,7.1,63,141577
I Am Sam,-2001,7.7,28,140342
Shallow Hal,-2001,5.9,48,124802
The Princess Diaries,-2001,6.3,52,123740
The Score,-2001,6.8,71,118082
Evolution,-2001,6.1,40,117245
Y tu mamá también,-2001,7.6,88,112559
Ghost World,-2001,7.3,88,110878
The Lord of the Rings: The Fellowship of the Ring,-2001,8.8,92,1603612
A Beautiful Mind,-2001,8.2,72,819342
"Monsters, Inc.",-2001,8,79,787658
Donnie Darko,-2001,8,88,723468
Amélie,-2001,8.3,69,685090
Harry Potter and the Sorcerer's Stone,-2001,7.6,64,616123
Sen to Chihiro no kamikakushi,-2001,8.6,96,614991
Shrek,-2001,7.8,84,595057
Ocean's Eleven,-2001,7.7,74,499566
Training Day,-2001,7.7,69,377136
Black Hawk Down,-2001,7.7,74,355400
The Fast and the Furious,-2001,6.8,58,337814
The Others,-2001,7.6,74,327879
Mulholland Dr.,-2001,8,85,308597
Pearl Harbor,-2001,6.2,44,304939
The Mummy Returns,-2001,6.3,48,294615
Jurassic Park III,-2001,5.9,42,288133
A.I. Artificial Intelligence,-2001,7.2,65,284622
Moulin Rouge!,-2001,7.6,66,261132
The Royal Tenenbaums,-2001,7.6,76,258645
Hannibal,-2001,6.8,57,247620
Vanilla Sky,-2001,6.9,45,242518
Zoolander,-2001,6.5,61,240897
Enemy at the Gates,-2001,7.6,53,236099
American Pie 2,-2001,6.4,43,234600
Blow,-2001,7.6,52,234519
Bridget Jones's Diary,-2001,6.7,66,218148
Planet of the Apes,-2001,5.7,50,206840
Rush Hour 2,-2001,6.6,48,194903
Lara Croft: Tomb Raider,-2001,5.8,33,193808
Legally Blonde,-2001,6.3,59,177320
Swordfish,-2001,6.5,32,173251
K-PAX,-2001,7.4,49,172269
A Knight's Tale,-2001,6.9,56,165222
Jay and Silent Bob Strike Back,-2001,6.8,51,146292
Scary Movie 2,-2001,5.3,29,145873
From Hell,-2001,6.8,54,143815
Spy Game,-2001,7.1,63,141577
I Am Sam,-2001,7.7,28,140342
Shallow Hal,-2001,5.9,48,124802
The Princess Diaries,-2001,6.3,52,123740
The Score,-2001,6.8,71,118082
Evolution,-2001,6.1,40,117245
Y tu mamá también,-2001,7.6,88,112559
Ghost World,-2001,7.3,88,110878
The Lord of the Rings: The Fellowship of the Ring,-2001,8.8,92,1603612
A Beautiful Mind,-2001,8.2,72,819342
"Monsters, Inc.",-2001,8,79,787658
Donnie Darko,-2001,8,88,723468
Amélie,-2001,8.3,69,685090
Harry Potter and the Sorcerer's Stone,-2001,7.6,64,616123
Sen to Chihiro no kamikakushi,-2001,8.6,96,614991
Shrek,-2001,7.8,84,595057
Ocean's Eleven,-2001,7.7,74,499566
Training Day,-2001,7.7,69,377136
Black Hawk Down,-2001,7.7,74,355400
The Fast and the Furious,-2001,6.8,58,337814
The Others,-2001,7.6,74,327879
Mulholland Dr.,-2001,8,85,308597
Pearl Harbor,-2001,6.2,44,304939
The Mummy Returns,-2001,6.3,48,294615
Jurassic Park III,-2001,5.9,42,288133
A.I. Artificial Intelligence,-2001,7.2,65,284622
Moulin Rouge!,-2001,7.6,66,261132
